gamma,p,F_static,Y_static,F_adapt,Y_adapt,ΔF,ΔY
0.0100,0.0100,0.996224,0.963077,0.996224,0.963077,0.000000,0.000000
0.0100,0.0480,0.981611,0.882471,0.981611,0.882471,0.000000,0.000000
0.0100,0.0860,0.966518,0.806493,0.966518,0.806493,0.000000,0.000000
0.0100,0.1240,0.950946,0.735006,0.950946,0.735006,0.000000,0.000000
0.0100,0.1620,0.934902,0.667874,0.934902,0.667874,0.000000,0.000000
0.0100,0.2000,0.918403,0.604959,0.918403,0.604959,0.000000,0.000000
0.0480,0.0100,0.996002,0.908966,0.996002,0.908966,0.000000,0.000000
0.0480,0.0480,0.981398,0.832889,0.981398,0.832889,0.000000,0.000000
0.0480,0.0860,0.966316,0.761180,0.966316,0.761180,0.000000,0.000000
0.0480,0.1240,0.950754,0.693710,0.950754,0.693710,0.000000,0.000000
0.0480,0.1620,0.934721,0.630349,0.934721,0.630349,0.000000,0.000000
0.0480,0.2000,0.918233,0.570969,0.918233,0.570969,0.000000,0.000000
0.0860,0.0100,0.995440,0.856972,0.995440,0.856972,0.000000,0.000000
0.0860,0.0480,0.980860,0.785247,0.980860,0.785247,0.000000,0.000000
0.0860,0.0860,0.965803,0.717640,0.965803,0.717640,0.000000,0.000000
0.0860,0.1240,0.950267,0.654029,0.950267,0.654029,0.000000,0.000000
0.0860,0.1620,0.934262,0.594293,0.934262,0.594293,0.000000,0.000000
0.0860,0.2000,0.917802,0.538309,0.917802,0.538309,0.000000,0.000000
0.1240,0.0100,0.994471,0.807096,0.994471,0.807096,0.000000,0.000000
0.1240,0.0480,0.979931,0.739546,0.979931,0.739546,0.000000,0.000000
0.1240,0.0860,0.964916,0.675873,0.964916,0.675873,0.000000,0.000000
0.1240,0.1240,0.949424,0.615965,0.949424,0.615965,0.000000,0.000000
0.1240,0.1620,0.933464,0.559705,0.933464,0.559705,0.000000,0.000000
0.1240,0.2000,0.917052,0.506980,0.917052,0.506980,0.000000,0.000000
0.1620,0.0100,0.993015,0.759338,0.993015,0.759338,0.000000,0.000000
0.1620,0.0480,0.978535,0.695785,0.978535,0.695785,0.000000,0.000000
0.1620,0.0860,0.963581,0.635880,0.963581,0.635880,0.000000,0.000000
0.1620,0.1240,0.948154,0.579516,0.948154,0.579516,0.000000,0.000000
0.1620,0.1620,0.932261,0.526586,0.932261,0.526586,0.000000,0.000000
0.1620,0.2000,0.915919,0.476980,0.915919,0.476980,0.000000,0.000000
0.2000,0.0100,0.990981,0.713698,0.990981,0.713698,0.000000,0.000000
0.2000,0.0480,0.976581,0.653964,0.976581,0.653964,0.000000,0.000000
0.2000,0.0860,0.961712,0.597660,0.961712,0.597660,0.000000,0.000000
0.2000,0.1240,0.946372,0.544684,0.946372,0.544684,0.000000,0.000000
0.2000,0.1620,0.930571,0.494935,0.930571,0.494935,0.000000,0.000000
0.2000,0.2000,0.914324,0.448311,0.914324,0.448311,0.000000,0.000000
